Time,On/Off,Brightness (x*10)%,Color temp (x*1000)Kelvin
20,1,10,3
21,1,10,3
22,1,8,2
23,1,8,2
0,1,6,3
1,0,6,3
2,0,8,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,3,4
8,1,8,8
9,1,8,8
10,1,7,10
11,1,7,10
12,0,4,7
13,0,5,10
14,0,8,9
15,0,8,9
16,0,8,4
17,0,8,4
18,1,7,5
19,1,7,5
20,1,7,5
21,1,7,4
22,1,7,4
23,1,8,4
0,1,8,4
1,1,7,4
2,1,6,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,3,4
8,0,8,8
9,0,8,8
10,1,8,9
11,1,8,9
12,1,9,10
13,1,9,10
14,0,8,9
15,0,8,9
16,0,8,4
17,1,7,5
18,1,7,5
19,1,7,5
20,1,6,5
21,1,6,5
22,1,6,4
23,1,6,4
0,1,6,4
1,1,6,4
2,0,6,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,3,4
8,0,8,8
9,0,8,8
10,0,8,9
11,0,8,9
12,0,9,10
13,0,9,10
14,0,8,9
15,0,8,9
16,1,7,6
17,1,7,6
18,1,7,6
19,1,7,5
20,1,7,5
21,1,6,4
22,1,6,4
23,1,6,4
0,0,6,4
1,0,6,4
2,0,6,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,1,8,9
8,1,8,9
9,1,9,9
10,1,9,10
11,1,9,10
12,0,9,10
13,0,9,10
14,0,8,9
15,0,8,9
16,1,7,4
17,1,7,4
18,1,7,4
19,1,7,4
20,1,7,2
21,1,6,2
22,1,6,2
23,1,6,2
0,1,6,2
1,0,6,4
2,0,6,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,8,9
8,1,8,8
9,1,8,8
10,1,8,8
11,1,8,9
12,1,9,9
13,1,9,9
14,0,8,9
15,0,8,9
16,0,7,4
17,0,7,4
18,1,6,5
19,1,6,5
20,1,6,5
21,1,8,5
22,1,8,5
23,1,8,5
0,1,8,3
1,1,8,3
2,0,6,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,8,9
8,0,8,8
9,1,8,7
10,1,8,7
11,1,8,9
12,1,9,9
13,0,9,9
14,0,8,9
15,0,8,9
16,1,8,5
17,1,8,5
18,1,7,5
19,1,7,5
20,1,7,4
21,1,6,4
22,1,6,4
23,1,5,4
